"offset","rating","condition","signals","study","realism","visionReal","modelPrediction","modelPredictionLogit","rmse","intercept","slope"
0,7.83127572,"physical",1,"M 1","real",1,0.443,-0.212839861542803,0.289316358541131,9.35021119083384,8.96031100574567
50,7.008230453,"physical",1,"M 1","real",1,0.4368,-0.236195994284957,0.289316358541131,9.35021119083384,8.96031100574567
100,6.037037037,"physical",1,"M 1","real",1,0.4021,-0.368295305456584,0.289316358541131,9.35021119083384,8.96031100574567
150,5.46090535,"physical",1,"M 1","real",1,0.3903,-0.413893088348046,0.289316358541131,9.35021119083384,8.96031100574567
200,5.21399177,"physical",1,"M 1","real",1,0.3849,-0.434899437623383,0.289316358541131,9.35021119083384,8.96031100574567
250,5.082304527,"physical",1,"M 1","real",1,0.3702,-0.492579890428768,0.289316358541131,9.35021119083384,8.96031100574567
300,4.917695473,"physical",1,"M 1","real",1,0.3717,-0.486658733194264,0.289316358541131,9.35021119083384,8.96031100574567
400,4.769547325,"physical",1,"M 1","real",1,0.3751,-0.473268186372109,0.289316358541131,9.35021119083384,8.96031100574567
0,6.020576132,"rendered",1,"M 1","unreal",0,0.3868,-0.427497765855712,0.289316358541131,9.35021119083384,8.96031100574567
50,5.510288066,"rendered",1,"M 1","unreal",0,0.3868,-0.427497765855712,0.289316358541131,9.35021119083384,8.96031100574567
100,4.374485597,"rendered",1,"M 1","unreal",0,0.348,-0.581271821887512,0.289316358541131,9.35021119083384,8.96031100574567
150,3.551440329,"rendered",1,"M 1","unreal",0,0.3357,-0.6313654088196,0.289316358541131,9.35021119083384,8.96031100574567
200,3.288065844,"rendered",1,"M 1","unreal",0,0.3237,-0.68098722425363,0.289316358541131,9.35021119083384,8.96031100574567
250,3.057613169,"rendered",1,"M 1","unreal",0,0.327,-0.667262872957017,0.289316358541131,9.35021119083384,8.96031100574567
300,2.991769547,"rendered",1,"M 1","unreal",0,0.3235,-0.681820979929704,0.289316358541131,9.35021119083384,8.96031100574567
400,2.794238683,"rendered",1,"M 1","unreal",0,0.2992,-0.784940840510363,0.289316358541131,9.35021119083384,8.96031100574567
